product_id,product_name,supplier,order_date,delivery_date,quantity_ordered,quantity_delivered,unit_cost,location,status
SKU001,Widget A,Supplier Alpha,2024-01-15,2024-01-22,1000,1000,2.50,Warehouse North,Delivered
SKU002,Widget B,Supplier Beta,2024-01-16,2024-01-25,500,450,3.75,Warehouse South,Partial
SKU003,Component X,Supplier Alpha,2024-01-18,2024-01-30,2000,2000,1.25,Warehouse East,Delivered
SKU004,Component Y,Supplier Gamma,2024-01-20,2024-02-05,800,750,4.20,Warehouse North,Partial
SKU005,Widget C,Supplier Beta,2024-01-22,2024-01-28,1200,1200,2.95,Warehouse South,Delivered
SKU006,Assembly Kit,Supplier Delta,2024-01-25,2024-02-10,300,280,15.50,Warehouse East,Partial
SKU007,Raw Material A,Supplier Alpha,2024-01-28,2024-02-02,5000,5000,0.85,Warehouse North,Delivered
SKU008,Raw Material B,Supplier Epsilon,2024-01-30,2024-02-15,3000,2800,1.15,Warehouse South,Partial
SKU009,Finished Product X,Supplier Beta,2024-02-01,2024-02-08,600,600,12.30,Warehouse East,Delivered
SKU010,Finished Product Y,Supplier Gamma,2024-02-03,2024-02-20,400,350,18.75,Warehouse North,Partial
SKU011,Widget D,Supplier Alpha,2024-02-05,2024-02-12,900,900,3.10,Warehouse South,Delivered
SKU012,Component Z,Supplier Delta,2024-02-08,2024-02-25,1500,1400,2.80,Warehouse East,Partial
SKU013,Assembly Kit Pro,Supplier Epsilon,2024-02-10,2024-02-17,200,200,22.50,Warehouse North,Delivered
SKU014,Raw Material C,Supplier Beta,2024-02-12,2024-03-01,4000,3700,0.95,Warehouse South,Partial
SKU015,Widget E,Supplier Gamma,2024-02-15,2024-02-22,750,750,3.85,Warehouse East,Delivered
SKU016,Component Alpha,Supplier Alpha,2024-02-18,2024-03-05,1100,1000,5.20,Warehouse North,Partial
SKU017,Finished Product Z,Supplier Delta,2024-02-20,2024-02-27,350,350,25.80,Warehouse South,Delivered
SKU018,Raw Material D,Supplier Epsilon,2024-02-22,2024-03-10,2500,2300,1.35,Warehouse East,Partial
SKU019,Widget F,Supplier Beta,2024-02-25,2024-03-04,650,650,4.15,Warehouse North,Delivered
SKU020,Component Beta,Supplier Gamma,2024-02-28,2024-03-15,950,850,6.40,Warehouse South,Partial
SKU021,Assembly Standard,Supplier Alpha,2024-03-01,2024-03-08,450,450,18.20,Warehouse East,Delivered
SKU022,Raw Material E,Supplier Delta,2024-03-03,2024-03-20,3500,3200,1.05,Warehouse North,Partial
SKU023,Widget G,Supplier Epsilon,2024-03-05,2024-03-12,800,800,3.60,Warehouse South,Delivered
SKU024,Component Gamma,Supplier Beta,2024-03-08,2024-03-25,1300,1200,4.85,Warehouse East,Partial
SKU025,Finished Product Alpha,Supplier Gamma,2024-03-10,2024-03-17,275,275,28.90,Warehouse North,Delivered
